AC_NO,AC_NAME,DT_CODE,DIST_NAME,PC_NO,PC_NAME,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
96,Ettumanoor,10.0,KOTTAYAM,14,KOTTAYAM,96,Ettumanoor,165414,132313,Suresh Kurup,CPIM,53805,LDF,Thomas Chazhikadan,KCM,44906,UDF,A. G. Thankappan,BDJS,27540,NDA,Josemon Mundackal,IND,3774,IND,8899
97,Kottayam,10.0,KOTTAYAM,14,KOTTAYAM,97,Kottayam,164025,128624,Thiruvanchoor Radhakrishnan,INC,73894,UDF,Reji Sakhariya,CPIM,40262,LDF,M. S. Karunakaran,BJP,12582,NDA,P. K. Geetha Krishnan,BSP,651,,33632
98,Puthuppally,10.0,KOTTAYAM,14,KOTTAYAM,98,Puthuppally,173203,134055,Oommen Chandy,INC,71597,UDF,Jaick C. Thomas,CPIM,44505,LDF,George Kurian,BJP,15993,NDA,Shibu Parakadavan,BSP,911,,27092
99,Changanassery,10.0,KOTTAYAM,16,MAVELIKKARA (SC),99,Changanassery,167097,125808,C. F. Thomas,KCM,50371,UDF,K. C. Joseph,KCD,48522,LDF,Ettumanoor Radhakrishnan,BJP,21455,NDA,Althaph Hassan,SDPI,1797,,1849
100,Kanjirappally,10.0,KOTTAYAM,17,PATHANAMTHITTA,100,Kanjirappally,178879,136718,N. Jayaraj,KCM,53126,UDF,V. B. Binu,CPI,49236,LDF,V. N. Manoj,BJP,31411,NDA,Arun M. John,BSP,1113,,3890
101,Poonjar,10.0,KOTTAYAM,17,PATHANAMTHITTA,101,Poonjar,183546,145786,P. C. George Plathottam,IND,63621,IND,Georgekutty Augusty,KCM,35800,UDF,P. C. Joseph Ponnattu,KCD,22270,LDF,M. R. Ullas,BDJS,19966,NDA,27821
102,Aroor,11.0,ALAPPUZHA,15,ALAPPUZHA,102,Aroor,188601,161886,A. M. Ariff,CPIM,84720,LDF,C. R. Jayaprakash,INC,46201,UDF,Aniyappan,BDJS,27753,NDA,Mohan Chacko,WPI,761,,38519
103,Cherthala,11.0,ALAPPUZHA,15,ALAPPUZHA,103,Cherthala,204819,178190,P. Thilothaman,CPI,81197,LDF,S. Sarath,INC,74001,UDF,P. S. Rajeev,BDJS,19614,NDA,C. P. Thilakan,BSP,845,,7196
104,Alappuzha,11.0,ALAPPUZHA,15,ALAPPUZHA,104,Alappuzha,193493,156228,T. M Thomas Isaac,CPIM,83211,LDF,Laly Vincent,INC,52179,UDF,Ranjit Sreenivas,BJP,18214,NDA,P. A Sulaiman Kunju,SDPI,703,,31032
105,Ambalapuzha,11.0,ALAPPUZHA,15,ALAPPUZHA,105,Ambalapuzha,168896,133336,G. Sudhakaran,CPIM,63069,LDF,Shaik P. Harriz,JDU,40448,UDF,L. P. Jayachandran,BJP,22730,NDA,K. S. Shan,SDPI,1622,,22621
106,Kuttanad,11.0,ALAPPUZHA,16,MAVELIKKARA (SC),106,Kuttanad,165118,130090,Thomas Chandy,NCP,50114,LDF,Jacob Abraham,KCM,45223,UDF,Subhash Vasu,BDJS,33044,NDA,Nandanan Valiyaparambu,SUCIC,371,,4891
107,Haripad,11.0,ALAPPUZHA,15,ALAPPUZHA,107,Haripad,188575,148844,Ramesh Chennithala,INC,75980,UDF,P. Prasad,CPI,57359,LDF,D. Aswani Dev,BJP,12985,NDA,Varkala Raj,PDP,623,,18621
108,Kayamkulam,11.0,ALAPPUZHA,15,ALAPPUZHA,108,Kayamkulam,203199,156814,U. Prathibha Hari,CPIM,72956,LDF,M. Liju,INC,61099,UDF,Shaji M. Panicker,BDJS,20000,NDA,Muttom Nazar,PDP,1125,,11857
